#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
204,AvePoint,AVPT,$4.34,$810.15,SaaS provider,
205,Avnet,AVT,$42.34,"$3,874.84",Electronics,
206,Avantor,AVTR,$20.70,"$13,956.03",Science,
207,Avery Dennison,AVY,$179.29,"$14,516.93",Manufacturer,
208,Armstrong World Industries Inc,AWI,$68.65,"$3,134.75",Manufacturer,
209,American Water Works,AWK,$152.40,"$27,710.56",Utilities,
210,American States Water Company,AWR,$92.96,"$3,435.89",Water company,
211,Axos Financial,AX,$35.89,"$2,153.38",Financial Services,
212,American Axle & Manufacturing,AXL,$8.60,$985.17,Auto Parts,
213,Axonics Modulation Technologies Inc,AXNX,$59.81,"$2,962.39",Healthcare,
214,Axon Enterprise Inc,AXON,$169.34,"$12,051.14",Defense,
215,American Express,AXP,$146.30,"$109,320.15",Credit Cards,
216,AXIS Capital Holdings,AXS,$54.67,"$4,628.74",Insurance,
217,Axalta Coating Systems,AXTA,$25.49,"$5,623.32",Coating Systems,
218,Atlantica Sustainable Infrastructure,AY,$26.42,"$2,976.85",Renewable Energy,
219,Acuity Brands,AYI,$166.15,"$5,343.11",Lighting solutions,
220,Alteryx,AYX,$50.74,"$3,505.77",Analytics Software,
221,Azek Company,AZEK,$21.65,"$3,270.03",Manufacturer,
222,AstraZeneca PLC,AZN,$67.94,"$172,226.69",Pharmaceuticals,
223,AutoZone,AZO,"$2,380.45","$44,745.29",Automotive Parts,
224,Aspen Technology,AZPN,$201.11,"$12,979.64",Software,
225,AZZ Incorporated,AZZ,$38.70,$962.17,Electricity,
226,Barnes,B,$39.52,"$1,998.48",Aerospace,
227,Boeing,BA,$184.70,"$110,078.06",Aeroplanes,
228,Alibaba,BABA,$86.79,"$1,787,304.57",Chinese E-commerce,
229,Bank of America,BAC,$31.70,"$254,311.13",Banking,
230,Booz Allen Hamilton,BAH,$103.92,"$13,740.94",Business Services,
231,Braskem,BAK,$8.63,"$18,416.57",Petrochemical,
232,Ball Corporation,BALL,$51.32,"$16,110.38",Can Manufacturer,
233,Bally's,BALY,$21.55,"$1,018.48",Entertainment,
234,Brookfield Asset Management Inc.,BAM,$27.11,"$53,069.10",Asset Management,
235,Brookfield Asset Management Reinsurance Partners,BAMR,$32.40,$480.92,Insurance,
236,Banc of California,BANC,$14.92,$897.57,Financial Services,
237,BancFirst Corporation,BANF,$86.82,"$2,853.82",Financial Services,
238,Banner Corporation,BANR,$61.55,"$2,104.42",Financial Services,
239,Credicorp,BAP,$133.77,"$10,639.14",Financial Services,
240,Couchbase,BASE,$13.37,$603.94,Software,
241,Liberty Media Corp Braves A,BATRA,$32.90,"$27,747.13",Mass Media,
242,Baxter,BAX,$49.71,"$25,059.84",Medical Instruments,
243,BlackBerry,BB,$4.22,"$2,441.29",Communications,
244,BBVA Banco Francés,BBAR,$2.89,"$1,161.56",Banking,
245,"Bed, Bath & Beyond Inc.",BBBY,$2.98,$262.68,-,
