#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
794,Floor & Decor,FND,$75.13,"$7,972.61",Retail,
795,Fidelity National Financial,FNF,$36.89,"$10,038.95",Insurance,
796,Funko,FNKO,$10.26,$517.89,Toy company,
797,Franco-Nevada,FNV,$132.50,"$34,764.14",Mining,
798,Amicus Therapeutics,FOLD,$12.23,"$3,435.96",Biotechnology,
799,"ForgeRock, Inc.",FORG,$23.69,"$2,032.41",Healthcare,
800,"FormFactor, Inc.",FORM,$23.71,"$1,826.27",Technology,
801,Forrester Research,FORR,$35.57,$677.68,Market Research,
802,Shift4 Payments,FOUR,$51.93,"$4,282.26",Financials,
803,21st Century Fox,FOXA,$30.74,"$16,210.95",Entertainment,
804,Fox Factory Holding,FOXF,$96.32,"$4,071.20",Software,
805,Far Peak Acquisition Corp.,FPAC,$10.00,$697.50,Target: Bullish Global,
806,First Industrial Realty Trust Inc,FR,$48.44,"$6,400.62",Real estate,
807,First Republic Bank,FRC,$121.05,"$22,143.11",Financial Services,
808,Franchise Group,FRG,$24.79,$947.12,Franchising platform,
809,Freedom Holding Corp,FRHC,$59.73,"$3,556.46",Investment company,
810,First Merchants Corporation,FRME,$39.72,"$2,365.83",Bank holding,
811,JFrog Ltd,FROG,$22.78,"$2,284.59",Software,
812,Freshpet Inc,FRPT,$55.22,"$2,651.67",Consumer Goods,
813,Freshworks,FRSH,$14.68,"$4,226.62",Service Desk Software,
814,Federal Realty Investment Trust,FRT,$102.53,"$8,326.41",REIT,
815,FS KKR Capital,FSK,$17.42,"$4,929.48",Credit Solutions,
816,First Solar,FSLR,$155.08,"$16,532.40",Solar Power,
817,Fastly,FSLY,$9.00,"$1,107.00",Cloud Services,
818,Fisker,FSR,$6.88,"$2,145.94",Automotive,
819,Federal Signal Corporation,FSS,$43.99,"$2,667.40",Manufacturer,
820,FirstService,FSV,$121.42,"$7,358.19",Real Estate,
821,Fortress Transportation and Infrastructure Investors LLC,FTAI,$17.09,"$1,703.26",Infrastructure,
822,Farfetch,FTCH,$4.04,"$1,538.36",Retail,
823,FinTech Acquisition Corp V,FTCV,#N/A,#N/A,Target: eToro,
824,Frontdoor,FTDR,$20.85,"$1,699.12",Repair & Maintenance,
825,TechnipFMC plc,FTI,$11.49,"$5,129.60",Oil & Gas,
826,Fortinet,FTNT,$51.92,"$40,561.77",Cybersecurity,
827,Fortis,FTS,$40.21,"$26,445.79",Utilities,
828,Fortive,FTV,$63.84,"$22,587.12",Industrial Tech,
829,fuboTV,FUBO,$2.20,$429.71,TV Streaming,
830,H.B. Fuller Company,FUL,$75.83,"$4,042.72",Manufacturer,
831,Fulton Financial Corporation,FULT,$16.25,"$2,721.78",-,
832,Futu Holdings,FUTU,$66.47,"$9,995.71",Wealth Management,
833,Fiverr,FVRR,$29.92,"$1,110.71",Freelance Services,
834,Liberty Media Group,FWONK,$58.07,"$27,853.33",Global Media,
835,Forward Air Corporation,FWRD,$105.25,"$2,798.56",Transport,
836,First Watch Restaurant Group Inc,FWRG,$14.31,$847.15,Restaurant,
837,Frontier Communications Parent Inc,FYBR,$24.15,"$5,916.85",Communications,
838,Genpact,G,$45.00,"$8,246.61",-,
839,German American Bancorp,GABC,$36.50,"$1,076.21",Financial Services,
840,GATX Corporation,GATX,$106.65,"$3,754.08",Railcar lessor,
841,Glacier Bancorp Inc,GBCI,$49.27,"$5,457.49",Finance,
842,Golub Capital BDC,GBDC,$12.89,"$2,202.84",Asset management,
843,Global Business Travel Group,GBTG,$6.28,"$2,902.63",Travel,
844,Greenbrier Companies,GBX,$34.11,"$1,118.22",Transport,
845,Gannett Co,GCI,$2.04,$298.03,Mass media holding,
846,General Dynamics,GD,$246.14,"$67,577.47",Aerospace & Defense,
847,GoDaddy,GDDY,$74.17,"$11,524.38",Website Services,
848,GoodRx Holdings,GDRX,$4.98,"$1,973.02",Healthcare,
849,GDS Holdings,GDS,$19.99,"$27,714.17",Hardware Developer,
850,Grid Dynamics Holdings Inc,GDYN,$10.74,$794.75,Technology,
851,General Electric,GE,$77.65,"$84,845.67",Global Conglomerate,
852,Grief Inc,GEF,$66.58,"$3,335.79",Packaging,
853,The GEO Group,GEO,$10.80,"$1,340.82",Real Estate,
854,Guess,GES,$19.99,"$1,088.41",Apparel Retail,
855,Getty Images,GETY,$5.03,"$1,985.70",Media,
856,Griffon Corporation,GFF,$34.95,"$1,994.40",Management,
857,Gold Fields,GFI,$10.19,"$163,090.58",Metals Mining,
858,Gfl Environmental Holdings Inc,GFL,$28.31,"$12,831.79",Management,
859,GlobalFoundries,GFS,$60.03,"$32,720.73",Semiconductors,
860,Grupo Financiero Galicia,GGAL,$7.68,"$1,778.70",Banking,
861,Gerdau S.A.,GGB,$5.68,"$47,228.21",Steel Products,
862,Graco,GGG,$66.05,"$11,131.33",Manufacturer,
863,Guardant Health,GH,$30.06,"$3,079.23",Biotechnology,
864,GH Research,GHRS,$9.70,$504.60,Pharmaceutical,
865,CGI,GIB,$85.44,"$18,070.54",Information technology,
866,Global Industrial,GIC,$23.26,$882.89,Industrial,
867,Gildan Activewear,GIL,$27.40,"$4,920.49",Clothing,
868,Gilead Sciences,GILD,$86.76,"$108,818.13",Biopharmaceuticals,
869,General Mills,GIS,$86.93,"$51,596.06",Cheerios & Häagen-Dazs,
870,Globe Life,GL,$116.50,"$11,331.98",Insurance,
871,Global-E Online,GLBE,$20.16,"$3,137.99",E-commerce,
872,Globant,GLOB,$167.48,"$7,016.57",Software,
873,Galapagos,GLPG,$40.06,"$2,489.90",Biotechnology,
874,Gaming & Leisure Properties,GLPI,$52.32,"$13,473.28",REIT,
875,Corning,GLW,$32.30,"$27,319.70",Computer Hardware,
876,General Motors,GM,$36.15,"$51,358.16",Automobiles,
877,Genmab AS,GMAB,$44.27,"$29,441.99",Biotechnology,
878,GameStop,GME,$20.80,"$6,335.22",Video Games Retail,
879,Globus Medical Inc,GMED,$71.63,"$7,151.72",Healthcare Products,
880,GMS Inc,GMS,$52.58,"$2,188.49",Building supply,
881,Global Net Lease,GNL,$13.16,"$1,365.95",Real Estate,
882,Generac Holdings,GNRC,$94.68,"$5,998.58",Manufacturing,
883,Gentex,GNTX,$26.67,"$6,256.30",Auto Parts,
884,Genworth Financial,GNW,$5.10,"$2,531.46",Insurance,
885,Grocery Outlet Holding,GO,$30.41,"$2,958.25",Discount Stores,
886,Canoo,GOEV,$1.23,$424.37,Electric Vehicles,
887,Gol Intelligent Airlines,GOL,$2.35,"$2,566.34",Airline Service,
888,Barrick Gold,GOLD,$16.90,"$29,578.41",Gold Mining,
889,Acushnet Holdings Corp,GOLF,$44.10,"$3,096.22",Golf brands,
890,Alphabet (Class C),GOOG,$90.86,"$1,170,290.43",Tech Giant,
891,Alphabet (Class A),GOOGL,$90.26,"$1,170,290.43",Tech Giant,
892,Canada Goose Holdings,GOOS,$18.35,"$2,644.98",Outerwear,
893,Gossamer Bio Inc,GOSS,$2.73,$257.92,Biotech,
894,Genuine Parts,GPC,$176.81,"$24,923.49",Automotive industry,
895,Group 1 Automotive Inc,GPI,$183.62,"$2,677.32",Automotive dealership,
896,Graphic Packaging Holding,GPK,$21.33,"$6,550.83",Packaging Solutions,
897,Global Payments,GPN,$94.78,"$25,628.62",Financial Services,
898,Gulfport Energy,GPOR,$72.78,"$1,402.62",Gas,
899,Green Plains,GPRE,$29.48,"$1,748.03",Agri-Tech,
900,GoPro,GPRO,$4.91,$765.60,Action Cameras,
901,GAP,GPS,$12.95,"$4,727.38",Global Apparel,
902,Grab Holdings,GRAB,$3.19,"$12,285.74",Technology,
903,Garmin,GRMN,$91.19,"$17,477.83",Technology,
904,Groupon,GRPN,$6.88,$209.41,Voucher Service,
905,GrowGeneration,GRWG,$4.95,$301.60,Farm Supplies,
906,Goldman Sachs,GS,$346.35,"$117,286.03",Banking,
907,Goosehead Insurance Inc,GSHD,$39.06,"$1,458.86",Insurance,
908,GSK,GSK,$34.95,"$58,178.55",Healthcare,
909,Goodyear,GT,$10.51,"$2,972.87",Tyre Manufacturing,
910,Gitlab,GTLB,$49.77,"$7,450.57",Software,
911,Chart Industries,GTLS,$116.58,"$4,270.84",Industrials,
912,Gray Television Inc,GTN,$11.19,"$1,043.31",Telecommunications,
913,Getty Realty Corporation,GTY,$34.33,"$1,604.38",REIT,
914,Granite Construction,GVA,$34.96,"$1,528.80",Construction,
915,Guidewire Software,GWRE,$63.49,"$5,198.32",Software,
916,WW Grainger,GWW,$558.65,"$28,228.17",Supply Distribution,
917,"GXO Logistics, Inc.",GXO,$42.41,"$5,031.47",Logistics,
918,Hyatt Hotels,H,$95.91,"$10,273.76",Resorts and Hotels,
919,Health Assurance Acquisition Corp,HAAC,#N/A,#N/A,General purpose SPAC,
920,Haemonetics Corporation,HAE,$78.33,"$3,964.15",Healthcare,
921,Halliburton,HAL,$35.85,"$32,553.47",Oil & Gas,
922,Hasbro,HAS,$57.86,"$7,991.26",Games & Toys,
923,Hayward Holdings,HAYW,$9.15,"$1,933.18",Pool Equipment,
924,Huntington Bancshares Incorporated,HBAN,$13.65,"$19,693.32",Banking,
925,Hanesbrands,HBI,$5.89,"$2,055.31",Apparel Retail,
926,HCA Healthcare,HCA,$239.05,"$67,583.43",Hospitals,
927,Health Catalyst,HCAT,$10.79,$590.76,Software,
928,Warrior Met Coal,HCC,$34.73,"$1,793.93",Steel industry,
929,Hutchison China,HCM,$13.77,"$2,064.25",Drug Manufacturing,
930,Hashicorp,HCP,$29.02,"$5,454.83",Software,
931,Healthcare Services Group,HCSG,$12.54,$929.06,Healthcare,
932,Home Depot,HD,$323.34,"$329,543.27",Home Improvement,
933,HDFC Bank.,HDB,$68.90,"$9,170,712.06",Banking,
934,Hawaiian Electric Industries Inc,HE,$40.22,"$4,402.90",Energy company,
935,H&E Equipment Services,HEES,$43.70,"$1,586.75",Equipment,
936,Heico,HEI,$151.85,"$17,999.28",Aerospace,
937,Helen Of Troy,HELE,$97.90,"$2,348.63",Retail,
938,Hess Corporation,HES,$133.01,"$41,008.10",Oil & Gas,
939,Hilton Grand Vacations,HGV,$40.97,"$4,713.91",Travel Agency,
940,Howard Hughes Corporation,HHC,$77.83,"$3,883.78",Real estate,
941,Hillenbrand Inc,HI,$44.02,"$3,032.10",Manufacturing,
942,Hartford Financial Services Group,HIG,$74.21,"$23,606.12",Insurance,
943,Huntington Ingalls Industries,HII,$231.27,"$9,228.49",Military shipbuilding,
944,Himax Technologies,HIMX,$6.88,"$1,199.87",Semiconductors,
945,Highwoods Properties Inc,HIW,$27.83,"$2,927.65",Financials,
946,Hecla Mining Co.,HL,$5.30,"$3,213.23",Metals Mining,
947,Herbalife,HLF,$14.04,"$1,374.28",Nutrition,
948,Houlihan Lokey Inc,HLI,$92.07,"$6,320.87",Investment banking,
949,Helios Technologies,HLIO,$51.95,"$1,691.31",Hydraulics & Electronics,
950,Haleon,HLN,$7.58,"$29,140.62",Healthcare,
951,Hilton,HLT,$130.99,"$35,427.03",Upmarket Hotels,
952,Honda Motor,HMC,$23.57,"$5,829,175.30",Automobiles,
953,Horace Mann Educators Corporation,HMN,$35.74,"$1,461.70",Insurance,
954,Harmony Gold Mining Company Limited,HMY,$3.21,"$35,631.85",Metals Mining,
955,HNI Corp,HNI,$27.35,"$1,131.30",Furniture,
956,Harley-Davidson,HOG,$44.46,"$6,499.34",Motorcycles,
957,Hologic,HOLX,$73.73,"$18,125.32",Healthcare Tech,
958,Home BancShares Inc,HOMB,$22.35,"$4,558.76",Bank holding,
959,Honeywell,HON,$209.74,"$141,012.88",Conglomerate,
960,Robinhood,HOOD,$8.61,"$7,635.01",Trading App,
961,Hope Bancorp Inc,HOPE,$12.58,"$1,503.08",Banking,
962,Anywhere Real Estate Inc,HOUS,$7.14,$781.69,Real Estate,
963,Helmerich & Payne,HP,$46.83,"$4,930.90",Oli & Gas,
964,Hewlett Packard,HPE,$15.64,"$20,047.60",Communications,
965,Highpeak Energy,HPK,$20.04,"$2,267.78",Energy,
966,Hudson Pacific Properties,HPP,$9.95,"$1,402.19",Real Estate,
967,HP,HPQ,$26.72,"$26,242.93",Computer Hardware,
968,Healthequity Inc,HQY,$60.67,"$5,135.10",Healthcare,
969,Healthcare Realty Trust Incorporated,HR,$18.94,"$7,208.04",Real estate,
970,H&R Block,HRB,$40.33,"$6,270.03",B2C Tax Services,
971,Hormel Foods Corporation,HRL,$45.66,"$24,949.72",Food Products,
972,Harmony Biosciences Holdings,HRMY,$55.68,"$3,302.80",Pharmaceutical,
973,HireRight,HRT,$11.48,$912.49,-,
974,HSBC,HSBC,$29.88,"$98,875.33",Banking,
975,Henry Schein,HSIC,$80.66,"$10,933.26",Dental,
976,Heska,HSKA,$62.71,$678.87,Healthcare,
977,Host Hotels & Resorts,HST,$17.00,"$12,155.48",Real Estate,
978,The Hershey Company,HSY,$235.00,"$48,194.41",Confectionery,
979,Hilltop Holdings Inc,HTH,$28.52,"$1,842.15",Financial services,
980,Huazhu Group,HTHT,$42.64,"$107,500.06",Hotel Services,
981,Heartland Express,HTLD,$16.14,"$1,274.07",Transport,
982,Heartland Financial USA Inc,HTLF,$44.60,"$1,893.04",Banking,
983,Hertz Global Holdings,HTZ,$15.64,"$5,223.01",Car Rentals,
984,Hubbell,HUBB,$232.68,"$12,496.27",Electrical & Electronic Products,
985,Hub Group,HUBG,$80.87,"$2,687.26",Transport,
986,HubSpot,HUBS,$295.48,"$14,353.30",Sales Platform,
987,USHG Acquisition Corp,HUGS,$10.07,$359.34,Target: Panera Brands,
988,Humana,HUM,$503.53,"$63,747.05",Health Insurance,
989,Huntsman Corporation,HUN,$27.17,"$5,219.34",Chemicals,
990,Huron Consulting Group,HURN,$73.70,"$1,469.10",Management consulting,
991,HUYA,HUYA,$3.05,$730.44,Game Streaming,
992,Hancock Whitney Corp,HWC,$47.16,"$4,041.30",Financial Services,
993,Howmet Aerospace,HWM,$38.13,"$15,774.84",Aerospace,
994,Hexcel Corporation,HXL,$56.95,"$4,793.56",Manufacturer,
995,Horizon Therapeutics,HZNP,$112.88,"$25,619.53",Biotech,
996,IAA,IAA,$37.65,"$5,036.24",Mechanical parts,
997,Integra Lifesciences,IART,$55.43,"$4,629.41",Medical Devices,
998,Interactive Brokers,IBKR,$69.49,"$29,377.07",Online Broker,
999,IBM,IBM,$140.16,"$126,722.32",IT Services,
1000,ICICI Bank,IBN,$21.89,"$6,326,895.89",Banking,
1001,International Bancshares Corporation,IBOC,$44.20,"$2,745.43",Financial Services,
1002,Installed Building Products Inc,IBP,$91.81,"$2,626.08",Installation,
1003,Independent Bank Group,IBTX,$58.36,"$2,404.21",Financial services,
1004,Intercontinental Exchange,ICE,$100.76,"$56,279.66",Financial Markets,
1005,ICF International Inc,ICFI,$100.24,"$1,888.91",Service,
1006,ICL Israel Chemicals,ICL,$7.31,"$33,870.16",Fertilizers,
1007,ICON,ICLR,$186.91,"$15,260.31",Healthcare,
1008,Intercept Pharmaceuticals,ICPT,$15.34,$635.34,Pharmaceuticals,
1009,ICU Medical,ICUI,$154.66,"$3,708.99",Medical Devices,
1010,IDACORP,IDA,$105.71,"$5,344.90",Electricity,
1011,InterDigital,IDCC,$48.07,"$1,425.90",Wireless,
1012,IDEXX Laboratories,IDXX,$407.71,"$33,765.30",Vets Medical Tools,
1013,Ivanhoe Electric Inc,IE,$14.99,"$1,392.64",Minerals,
1014,IDEX Corporation,IEX,$227.99,"$17,195.26",Manufacturing,
1015,IGM Biosciences,IGMS,$19.71,$844.11,Biotechnology,
1016,International Game Technology,IGT,$23.53,"$4,712.96",Gaming,
1017,Intercontinental Hotels Group,IHG,$59.34,"$8,409.56",Hotels,
1018,Innovative Industrial Properties,IIPR,$112.20,"$3,138.56",Real Estate,
1019,Illumina,ILMN,$199.54,"$31,387.64",Genetic Analysis,
1020,I-MAB,IMAB,$3.62,$300.82,Biotechnology,
1021,IMAX Corporation,IMAX,$14.71,$823.37,Entertainment,
1022,Immunocore Holdings,IMCR,$58.31,"$2,641.66",Biotechnology,
1023,ImmunoGen,IMGN,$5.00,"$1,103.75",Biotechnology,
1024,Ingles Markets,IMKTA,$95.40,"$1,812.06",Supermarket,
1025,Imperial Oil,IMO,$46.75,"$38,625.23",Oil & Gas,
1026,Immatics,IMTX,$9.06,$690.62,Biotech,
1027,Incyte,INCY,$82.03,"$18,249.66",Biotechnology,
1028,Independent Bank,INDB,$82.06,"$3,745.40",Financial Services,
1029,indie Semiconductor,INDI,$6.86,"$1,018.58",Semiconductors,
1030,Informatica,INFA,$16.30,"$4,613.60",Software,
1031,Infinera Corporation,INFN,$6.68,"$1,467.89",Communications,
1032,Infosys,INFY,$17.73,"$6,316,450.28",Consulting,
1033,Ingredion Incorporated,INGR,$97.97,"$6,422.45",Food,
1034,Inmode,INMD,$36.33,"$3,018.34",Medical Devices,
1035,Inspire Medical Systems Inc,INSP,$253.66,"$7,328.84",Medical technology,
1036,Instructure,INST,$23.90,"$3,405.82",Education,
1037,World Fuel Services,INT,$27.68,"$1,713.92",Energy company,
1038,Intapp,INTA,$24.39,"$1,536.65",Software,
1039,Intel,INTC,$26.92,"$111,098.79",Semiconductors,
1040,Intuit,INTU,$384.98,"$108,150.59",Accounting,
1041,Innoviva,INVA,$12.77,$891.13,Pharmaceutical,
1042,Invitation Homes,INVH,$30.38,"$18,574.63",Real Estate,
1043,Ionis Pharmaceuticals,IONS,$38.66,"$5,491.66",Biotech,
1044,Samsara,IOT,$12.77,"$6,626.04",IoT,
1045,International Paper Company,IP,$35.61,"$12,665.41",Paper Production,
1046,Inter Parfums,IPAR,$92.37,"$2,944.35",Perfumes,
1047,Interpublic Group of Companies,IPG,$32.46,"$12,611.51",Marketing Solutions,
1048,IPG Photonics Corporation,IPGP,$91.47,"$4,455.90",Photonics,
1049,Intrepid Potash,IPI,$29.42,$396.84,Fertilizers,
1050,iQIYI,IQ,$3.75,"$2,999.58",Media Platform,
1051,IQVIA Holdings,IQV,$203.78,"$37,850.10",Healthcare,
1052,Ingersoll Rand,IR,$51.80,"$20,975.15",Machinery Industry,
1053,iRobot,IRBT,$47.91,"$1,310.41",Robots,
1054,Iridium Communications,IRDM,$50.33,"$6,323.59",Communications,
1055,Iron Mountain,IRM,$51.61,"$15,003.75",Business Services,
1056,Independence Realty Trust Inc,IRT,$17.45,"$3,910.10",Real estate,
1057,Ironwood Pharmaceuticals Inc,IRWD,$12.07,"$1,851.48",Healthcare,
1058,ironSource,IS,$1.65,$146.74,App Software,
1059,Iveric Bio,ISEE,$22.32,"$2,992.52",Healthcare,
1060,Intuitive Surgical,ISRG,$264.68,"$93,533.81",Surgical Tools,
1061,Gartner,IT,$338.17,"$26,723.68",Business Advisory,
1062,Intracellular Therapies,ITCI,$51.05,"$4,834.69",Pharmaceutical,
1063,Integer Holdings Corp,ITGR,$62.80,"$2,080.63",Medical,
1064,Iteos Therapeutics,ITOS,$21.16,$752.77,Biotechnology,
1065,Itron Inc,ITRI,$49.75,"$2,247.61",Technology,
1066,ITT Inc,ITT,$77.03,"$6,370.38",Industrial manufacturer,
1067,Itaú Unibanco,ITUB,$4.43,"$217,322.42",Banking,
1068,Illinois Tool Works,ITW,$216.79,"$66,594.92",Industrial Products,
1069,Invesco Mortgage Capital,IVR,$12.66,$447.56,Real Estate,
1070,Invesco,IVZ,$18.39,"$8,363.77",Asset Management,
1071,Jacobs Solutions,J,$119.07,"$15,075.60",Construction Services,
1072,Jack in the Box,JACK,$69.18,"$1,437.71",Restaurant Chain,
1073,Jamf Holding,JAMF,$22.84,"$2,772.49",Software,
1074,Jazz Pharmaceuticals,JAZZ,$157.72,"$9,931.05",Pharmaceuticals,
1075,JBG SMITH Properties,JBGS,$19.37,"$2,204.07",Real estate,
1076,J.B. Hunt,JBHT,$178.65,"$18,496.96",Transportation,
1077,Janus International Group,JBI,$9.77,"$1,432.74",Self Storage,
1078,Jabil Circuit,JBL,$69.07,"$9,299.48",Technology,
1079,JetBlue Airways,JBLU,$6.84,"$2,215.32",Airline Service,
1080,John Bean Technologies,JBT,$88.58,"$2,822.02",Industrials,
1081,Johnson Controls,JCI,$63.35,"$43,502.68",Producer,
1082,JD.com,JD,$56.59,"$708,316.84",Chinese E-commerce,
1083,Jefferies Financial Group,JEF,$34.96,"$8,005.49",Financial Services,
1084,Janus Henderson Group,JHG,$23.96,"$3,969.16",Financial Services,
1085,James Hardie Industries ADR,JHX,$19.58,"$12,840.65",Capital Goods,
1086,J&J Snack Foods,JJSF,$151.79,"$2,917.56",Consumer Goods,
1087,Jack Henry & Associates,JKHY,$177.55,"$12,952.17",Business Services,
1088,Jinkosolar Holding,JKS,$51.04,"$2,595.89",Solar Power,
1089,Jones Lang LaSalle,JLL,$158.39,"$7,517.59",Real Estate,
1090,Jumia,JMIA,$3.40,$339.58,Online Marketplace,
1091,J&J,JNJ,$175.67,"$459,286.22",Pharmaceuticals,
1092,Juniper Networks,JNPR,$31.78,"$10,314.37",Network Products,
1093,Joby Aviation,JOBY,$3.62,"$2,250.67",eVTOL,
1094,St. Joe Company,JOE,$37.23,"$2,171.83",Real Estate,
1095,JPMorgan,JPM,$129.29,"$379,234.05",Banking,
1096,Nordstrom,JWN,$16.34,"$2,615.73",Retail,
1097,Kellogg's,K,$71.29,"$24,329.92",Breakfast Cereal,
1098,KKR Acquisition Holdings,KAHC,#N/A,#N/A,General purpose SPAC,
1099,Kaiser Aluminum,KALU,$76.81,"$1,224.40",Aluminium company,
1100,Kaman,KAMN,$20.72,$580.55,Aerospace,
1101,KAR Auction Services,KAR,$13.38,"$1,457.19",Used Car Dealer,
1102,KB Financial Group,KB,$39.12,"$21,344,428.62",Financial Services,
1103,KB Home,KBH,$32.16,"$2,752.39",Homebuilding,
1104,KBR,KBR,$51.15,"$7,017.59",Technology,
1105,Kyndryl,KD,$10.80,"$2,449.33",IT Services,
1106,Chinook Therapeutics Inc,KDNY,$25.42,"$1,625.37",Biotech,
1107,Keurig Dr Pepper,KDP,$36.07,"$51,084.17",Beverages,
1108,Kirby Corporation,KEX,$62.98,"$3,772.25",Tank barge operator,
1109,KeyCorp.,KEY,$16.62,"$15,505.96",Banking,
1110,Keysight Technologies,KEYS,$173.85,"$31,032.23",Measuring Devices,
1111,Kforce,KFRC,$53.22,"$1,104.51",Technology,
1112,Korn Ferry,KFY,$49.59,"$2,613.89",Consulting,
1113,Kinross Gold Corporation,KGC,$4.09,"$5,156.57",Gold Mining,
1114,Kraft Heinz,KHC,$39.92,"$48,899.20",Food & Drink,
1115,Kimco Realty Corporation,KIM,$21.23,"$13,129.92",Real Estate,
1116,Kulicke and Soffa Industries,KLIC,$47.14,"$2,687.87",Technology,
1117,Kimberly-Clark,KMB,$135.32,"$45,669.42",Kleenex & Huggies,
1118,Kinder Morgan,KMI,$17.69,"$39,762.56",Oil & Gas,
1119,Kemper,KMPR,$51.03,"$3,260.06",Insurance,
1120,Kennametal Inc,KMT,$24.27,"$1,955.59",Supplier,
1121,CarMax,KMX,$61.44,"$9,708.47",Car Retailer,
1122,KnowBe4,KNBE,$24.79,"$4,374.01",Cybersecurity,
1123,Kinsale Capital Group Inc,KNSL,$276.46,"$6,380.76",Insurance,
1124,Kinetik Holdings Inc,KNTK,$32.39,"$4,448.83",Midstream,
1125,Knight-Swift Transportation Holdings,KNX,$54.34,"$8,732.22",Logistics,
1126,Coca-Cola,KO,$62.75,"$271,363.13",Drinks Conglomerate,
1127,Kosmos Energy,KOS,$5.78,"$2,635.06",Oil & Gas,
1128,Kroger Co,KR,$44.32,"$31,725.22",Retail,
1129,Kilroy Realty,KRC,$39.29,"$4,592.11",REIT,
1130,Kite Realty Group Trust,KRG,$21.07,"$4,616.41",Real Estate,
1131,Kornit Digital,KRNT,$22.62,"$1,126.13",Printing,
1132,Kronos Worldwide,KRO,$9.37,"$1,081.95",Chemicals,
1133,Keros Therapeutics,KROS,$49.05,"$1,351.00",Biotech,
1134,Karuna Therapeutics Inc,KRTX,$199.35,"$6,850.22",Healthcare,
1135,Krystal Biotech Inc,KRYS,$79.84,"$2,055.69",Biotech,
1136,Kohl's,KSS,$25.97,"$2,869.27",Retail,
1137,KT,KT,$13.79,"$9,413,080.39",Telecom Services,
1138,Kratos,KTOS,$9.21,"$1,160.06",Defense,
1139,Kura Oncology,KURA,$12.17,$830.77,Biotechnology,
1140,Quaker Chemical Corporation,KWR,$165.64,"$2,970.20",Chemical company,
1141,Kymera Therapeutics,KYMR,$28.26,"$1,550.48",Healthcare,
1142,Loews Corporation,L,$55.80,"$13,248.43",Financial Services,
1143,Lithium Americas Corp,LAC,$22.85,"$3,084.19",Mining company,
1144,Lithia Motors,LAD,$212.32,"$5,804.49",Car Retailer,
1145,Lamar Advertising Company,LAMR,$93.78,"$9,535.87",Advertising,
1146,Lancaster Colony,LANC,$196.47,"$5,413.31",Food,
1147,Gladstone Land,LAND,$18.61,$645.84,REIT,
1148,Laureate Education Inc,LAUR,$9.49,"$1,562.52",Higher education,
1149,Lazard,LAZ,$35.97,"$4,056.19",Financial Services,
1150,Luminar Technologies,LAZR,$6.78,"$2,459.50",Automobiles,
1151,Liberty Broadband,LBRDA,$69.29,"$10,254.46",Communications,
1152,LendingClub,LC,$8.98,$943.70,Financial Services,
1153,Lucid Group,LCID,$7.37,"$12,384.77",Electric Vehicles,
1154,LCI Industries,LCII,$93.71,"$2,383.07",Engineering,
1155,Leidos Holdings,LDOS,$104.79,"$14,323.69",Software,
1156,Lear,LEA,$124.70,"$7,370.48",Technology,
1157,Lincoln Electric,LECO,$142.09,"$8,204.05",Manufacturing,
1158,Leggett & Platt Incorporated,LEG,$32.12,"$4,258.38",Manufacturer,
1159,Legend Biotech Corp,LEGN,$50.95,"$8,529.17",Biotech,
1160,Lennar,LEN,$92.20,"$26,256.50",Housing Construction,
1161,Leslies Inc,LESL,$12.08,"$2,217.23",Swimming Pools,
1162,Levi Strauss & Co,LEVI,$15.88,"$6,262.96",Apparel Retail,
1163,Archaea Energy Inc,LFG,$25.90,"$3,124.71",Renewable gas,
1164,Littelfuse,LFUS,$219.78,"$5,440.78",Electronics,
1165,Ligand Pharmaceuticals,LGND,$62.65,"$1,058.38",Biotech,
1166,Laboratory Corporation of America Holdings,LH,$226.99,"$20,111.31",Testing laboratories,
1167,LHC Group,LHCG,$164.62,"$5,108.65",Healthcare,
1168,L3Harris Technologies,LHX,$213.27,"$40,607.21",Aerospace and Defense,
1169,Li Auto Inc.,LI,$20.45,"$169,267.73",Electric Vehicles,
1170,Lennox International,LII,$246.50,"$8,735.65",Building Materials,
1171,Linde,LIN,$329.63,"$162,362.79",Gas,
1172,Lumentum Holdings,LITE,$52.09,"$3,552.54",Photonics,
1173,Lakeland Financial Corporation,LKFN,$71.51,"$1,812.79",Bank holding,
1174,LKQ,LKQ,$52.63,"$14,061.42",Auto Parts,
1175,Eli Lilly,LLY,$359.87,"$341,940.44",Pharmaceuticals,
1176,LeMaitre Vascular Inc,LMAT,$45.54,"$1,001.92",Medical,
1177,Lemonade,LMND,$16.64,"$1,150.89",Insurance,
1178,Lockheed Martin,LMT,$481.79,"$126,264.59",Defense,
1179,Lincoln National Corporation,LNC,$29.17,"$4,936.01",Insurance,
1180,Cheniere Energy,LNG,$157.61,"$39,191.21",LNG Terminals,
1181,Lindsay,LNN,$165.37,"$1,820.20",Manufacturing,
1182,Alliant Energy,LNT,$54.61,"$13,708.31",Utilities,
1183,Lantheus Holdings,LNTH,$53.00,"$3,648.10",Healthcare,
1184,Live Oak Bancshares Inc,LOB,#N/A,#N/A,Banking,
1185,Logitech International SA,LOGI,$58.51,"$9,604.12",Hardware Developer,
1186,Loma Negra Compania Industrial Argentina SA,LOMA,$6.51,"$1,515.48",Building Materials,
